Label (Grouping),['Total', 'Less than $10000', '$10000 to $14999', '$15000 to $24999', '$25000 to $34999', '$35000 to $49999', '$50000 to $74999', '$75000 to $99999', '$100000 to $149999', '$150000 to $199999', '$200000 or more', 'Median income (dollars)', 'Mean income (dollars)', 'PERCENT ALLOCATED', 'Household income in the past 12 months', 'Family income in the past 12 months', 'Nonfamily income in the past 12 months']
11367 Families Estimate,['10463', '2.5%', '2.4%', '8.4%', '10.0%', '8.7%', '14.5%', '15.3%', '13.3%', '12.2%', '12.6%', '82800', '104384', '', '(X)', '46.9%', '(X)']
11367 Families Margin of Error,['±764', '±1.3', '±1.0', '±2.1', '±3.5', '±2.4', '±3.1', '±3.4', '±2.4', '±2.9', '±3.1', '±7488', '±7095', '', '(X)', '(X)', '(X)']
11367 Married-couple families Estimate,['7393', '2.3%', '2.4%', '9.8%', '6.3%', '7.8%', '13.1%', '12.4%', '12.6%', '15.9%', '17.2%', '95365', 'N', '', '(X)', '(X)', '(X)']
11367 Married-couple families Margin of Error,['±656', '±1.6', '±1.4', '±2.9', '±2.9', '±2.9', '±3.5', '±3.1', '±3.0', '±3.9', '±4.4', '±10353', 'N', '', '(X)', '(X)', '(X)']
11367 Nonfamily households Estimate,['4105', '13.3%', '12.2%', '14.1%', '10.5%', '6.5%', '10.6%', '12.7%', '14.5%', '4.5%', '1.0%', '34862', '56502', '', '(X)', '(X)', '42.6%']
11367 Nonfamily households Margin of Error,['±442', '±3.8', '±4.0', '±5.4', '±3.8', '±3.2', '±3.4', '±3.4', '±4.4', '±2.7', '±0.8', '±9321', '±6287', '', '(X)', '(X)', '(X)']
11368 Households Estimate,['29550', '4.0%', '5.5%', '8.5%', '8.9%', '12.1%', '20.2%', '14.6%', '15.1%', '6.3%', '4.9%', '62254', '79303', '', '50.4%', '(X)', '(X)']
11368 Households Margin of Error,['±881', '±1.1', '±1.8', '±1.7', '±2.0', '±1.8', '±2.3', '±1.9', '±2.0', '±1.3', '±1.4', '±3426', '±4711', '', '(X)', '(X)', '(X)']
11368 Families Estimate,['22718', '3.1%', '3.2%', '9.1%', '12.2%', '13.7%', '22.1%', '12.5%', '14.5%', '5.1%', '4.5%', '58140', '76591', '', '(X)', '48.8%', '(X)']
11368 Families Margin of Error,['±927', '±1.1', '±1.6', '±1.9', '±2.5', '±2.1', '±2.6', '±1.9', '±2.1', '±1.3', '±1.6', '±3267', '±5313', '', '(X)', '(X)', '(X)']
11368 Married-couple families Estimate,['12487', '1.7%', '0.7%', '8.5%', '11.0%', '14.2%', '24.5%', '13.3%', '16.0%', '5.4%', '4.6%', '62059', '82932', '', '(X)', '(X)', '(X)']
11368 Married-couple families Margin of Error,['±862', '±1.2', '±0.5', '±2.6', '±2.4', '±2.9', '±3.5', '±2.4', '±3.1', '±1.9', '±1.4', '±4825', '±7924', '', '(X)', '(X)', '(X)']
11368 Nonfamily households Estimate,['6832', '9.1%', '14.8%', '13.6%', '8.3%', '12.0%', '15.6%', '13.8%', '9.7%', '1.4%', '1.6%', '40135', '52942', '', '(X)', '(X)', '39.3%']
11368 Nonfamily households Margin of Error,['±597', '±3.4', '±6.1', '±4.3', '±2.9', '±3.5', '±4.3', '±3.9', '±3.1', '±1.1', '±1.1', '±7078', '±5256', '', '(X)', '(X)', '(X)']
11369 Households Estimate,['9551', '6.3%', '3.2%', '5.4%', '7.6%', '13.0%', '20.3%', '11.6%', '19.0%', '7.5%', '6.0%', '66132', '82892', '', '45.9%', '(X)', '(X)']
11369 Households Margin of Error,['±653', '±2.2', '±1.3', '±1.6', '±1.7', '±2.6', '±2.9', '±2.3', '±3.8', '±1.4', '±1.7', '±3557', '±4749', '', '(X)', '(X)', '(X)']
11369 Families Estimate,['6722', '6.0%', '2.0%', '3.7%', '7.4%', '13.9%', '18.4%', '15.4%', '18.0%', '8.4%', '6.7%', '72299', '87273', '', '(X)', '44.5%', '(X)']
11369 Families Margin of Error,['±478', '±2.7', '±1.1', '±1.3', '±1.9', '±3.4', '±3.5', '±3.5', '±3.4', '±1.8', '±2.1', '±7222', '±5474', '', '(X)', '(X)', '(X)']
11369 Married-couple families Estimate,['4262', '5.4%', '1.4%', '2.6%', '6.8%', '14.3%', '15.8%', '15.6%', '17.4%', '11.9%', '8.8%', '80000', 'N', '', '(X)', '(X)', '(X)']
11369 Married-couple families Margin of Error,['±365', '±3.5', '±1.2', '±1.5', '±2.6', '±4.5', '±3.1', '±3.6', '±3.4', '±2.8', '±2.8', '±7221', 'N', '', '(X)', '(X)', '(X)']
11369 Nonfamily households Estimate,['2829', '8.8%', '6.2%', '12.4%', '7.8%', '10.2%', '27.3%', '5.6%', '17.0%', '3.5%', '1.3%', '56875', '61777', '', '(X)', '(X)', '46.4%']
11369 Nonfamily households Margin of Error,['±470', '±3.0', '±3.4', '±4.7', '±3.6', '±3.2', '±7.9', '±2.6', '±10.1', '±1.6', '±1.5', '±10739', '±8373', '', '(X)', '(X)', '(X)']
11370 Households Estimate,['7823', '4.8%', '3.3%', '7.8%', '9.0%', '7.8%', '20.5%', '13.8%', '17.1%', '7.6%', '8.4%', '67241', '92798', '', '51.3%', '(X)', '(X)']
11370 Households Margin of Error,['±521', '±2.3', '±1.9', '±2.8', '±3.2', '±2.2', '±4.6', '±3.6', '±3.9', '±2.1', '±2.3', '±9118', '±7371', '', '(X)', '(X)', '(X)']
11370 Families Estimate,['5220', '1.7%', '2.4%', '2.6%', '8.6%', '9.9%', '17.4%', '17.7%', '19.3%', '9.8%', '10.6%', '88609', '106504', '', '(X)', '56.0%', '(X)']
11370 Families Margin of Error,['±437', '±1.0', '±1.7', '±1.5', '±4.2', '±3.1', '±3.9', '±5.0', '±4.5', '±2.4', '±3.1', '±6213', '±9267', '', '(X)', '(X)', '(X)']
11370 Married-couple families Estimate,['3828', '1.7%', '1.9%', '1.7%', '8.8%', '9.0%', '17.9%', '20.4%', '17.3%', '9.7%', '11.7%', '89255', 'N', '', '(X)', '(X)', '(X)']
11370 Married-couple families Margin of Error,['±476', '±1.2', '±1.9', '±1.2', '±5.0', '±3.1', '±5.0', '±6.3', '±4.5', '±2.8', '±3.7', '±4960', 'N', '', '(X)', '(X)', '(X)']
11370 Nonfamily households Estimate,['2603', '11.6%', '5.1%', '18.6%', '10.5%', '4.9%', '27.4%', '6.7%', '11.4%', '2.5%', '1.2%', '45380', '54538', '', '(X)', '(X)', '39.6%']
11370 Nonfamily households Margin of Error,['±391', '±6.4', '±4.6', '±7.7', '±4.6', '±2.6', '±9.1', '±3.9', '±7.3', '±3.1', '±1.1', '±20610', '±8822', '', '(X)', '(X)', '(X)']
11371 Households Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '-', '(X)', '(X)']
11371 Households Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
11371 Families Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '(X)', '-', '(X)']
11371 Families Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
11371 Married-couple families Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '(X)', '(X)', '(X)']
11371 Married-couple families Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
11371 Nonfamily households Estimate,['0', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '', '(X)', '(X)', '-']
11371 Nonfamily households Margin of Error,['±13', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '**', '', '(X)', '(X)', '(X)']
11372 Households Estimate,['25164', '3.8%', '5.4%', '8.8%', '8.4%', '13.3%', '18.1%', '13.3%', '14.2%', '7.4%', '7.2%', '62910', '86369', '', '40.4%', '(X)', '(X)']
11372 Households Margin of Error,['±1047', '±1.1', '±1.3', '±1.9', '±1.5', '±2.3', '±3.0', '±2.0', '±2.1', '±1.5', '±1.4', '±5117', '±4946', '', '(X)', '(X)', '(X)']
11372 Families Estimate,['15623', '2.5%', '4.2%', '8.0%', '8.5%', '14.8%', '17.3%', '12.5%', '16.0%', '8.1%', '8.2%', '64046', '91172', '', '(X)', '42.9%', '(X)']
11372 Families Margin of Error,['±1041', '±1.1', '±1.3', '±2.4', '±2.0', '±3.2', '±3.4', '±2.7', '±3.0', '±1.9', '±2.1', '±6643', '±6969', '', '(X)', '(X)', '(X)']
11372 Married-couple families Estimate,['10215', '0.3%', '2.6%', '6.4%', '9.0%', '14.5%', '13.7%', '14.5%', '18.4%', '9.3%', '11.2%', '79563', 'N', '', '(X)', '(X)', '(X)']
11372 Married-couple families Margin of Error,['±931', '±0.4', '±1.5', '±2.9', '±2.9', '±4.0', '±4.0', '±3.6', '±4.0', '±2.4', '±3.0', '±7896', 'N', '', '(X)', '(X)', '(X)']
11372 Nonfamily households Estimate,['9541', '7.5%', '7.5%', '9.9%', '9.0%', '13.1%', '20.7%', '13.0%', '10.9%', '4.7%', '3.8%', '53977', '69921', '', '(X)', '(X)', '33.3%']
11372 Nonfamily households Margin of Error,['±873', '±2.6', '±2.5', '±3.0', '±2.7', '±3.4', '±5.3', '±3.1', '±3.1', '±1.9', '±1.5', '±5629', '±6055', '', '(X)', '(X)', '(X)']
11373 Households Estimate,['31438', '3.6%', '3.5%', '8.8%', '9.8%', '14.3%', '21.7%', '15.4%', '12.4%', '5.2%', '5.2%', '62072', '78958', '', '33.1%', '(X)', '(X)']
11373 Households Margin of Error,['±1038', '±0.9', '±1.1', '±2.0', '±1.6', '±2.2', '±2.2', '±1.6', '±1.3', '±0.8', '±0.9', '±2983', '±3521', '', '(X)', '(X)', '(X)']
11373 Families Estimate,['22116', '2.5%', '1.3%', '7.6%', '10.9%', '14.3%', '22.8%', '16.5%', '13.1%', '5.5%', '5.6%', '65346', '82585', '', '(X)', '32.6%', '(X)']
11373 Families Margin of Error,['±1002', '±1.0', '±0.4', '±2.3', '±2.0', '±2.2', '±2.5', '±2.1', '±1.4', '±1.1', '±1.2', '±2685', '±4334', '', '(X)', '(X)', '(X)']
11373 Married-couple families Estimate,['14969', '1.8%', '1.2%', '6.1%', '9.3%', '14.8%', '23.0%', '17.8%', '13.4%', '6.1%', '6.5%', '68316', 'N', '', '(X)', '(X)', '(X)']
11373 Married-couple families Margin of Error,['±933', '±1.3', '±0.6', '±2.3', '±2.0', '±2.5', '±2.9', '±2.7', '±2.0', '±1.4', '±1.6', '±3009', 'N', '', '(X)', '(X)', '(X)']
11373 Nonfamily households Estimate,['9322', '7.2%', '9.0%', '14.4%', '9.4%', '16.7%', '19.7%', '9.6%', '8.2%', '3.3%', '2.5%', '45743', '58496', '', '(X)', '(X)', '30.2%']
11373 Nonfamily households Margin of Error,['±840', '±2.1', '±3.4', '±4.1', '±2.8', '±5.2', '±3.6', '±1.9', '±2.5', '±1.3', '±1.5', '±2164', '±5177', '', '(X)', '(X)', '(X)']
11374 Households Estimate,['19938', '5.8%', '3.4%', '9.4%', '6.4%', '9.0%', '13.1%', '12.6%', '19.0%', '10.4%', '11.0%', '79221', '99455', '', '33.8%', '(X)', '(X)']
11374 Households Margin of Error,['±900', '±1.5', '±0.8', '±1.6', '±1.7', '±1.5', '±1.8', '±2.1', '±2.7', '±1.7', '±1.8', '±4286', '±4321', '', '(X)', '(X)', '(X)']
11374 Families Estimate,['11796', '3.3%', '1.1%', '7.6%', '4.9%', '7.9%', '10.7%', '14.1%', '22.1%', '12.3%', '16.0%', '100665', '118784', '', '(X)', '33.2%', '(X)']
11374 Families Margin of Error,['±756', '±1.2', '±0.8', '±1.7', '±2.1', '±1.8', '±2.4', '±2.7', '±3.8', '±2.2', '±3.0', '±9060', '±6692', '', '(X)', '(X)', '(X)']
11374 Married-couple families Estimate,['8764', '1.7%', '1.4%', '5.3%', '5.0%', '5.5%', '9.8%', '13.6%', '26.3%', '14.1%', '17.3%', '111705', 'N', '', '(X)', '(X)', '(X)']
11374 Married-couple families Margin of Error,['±776', '±1.0', '±1.1', '±1.8', '±2.4', '±1.5', '±2.4', '±3.2', '±4.9', '±2.7', '±3.9', '±8355', 'N', '', '(X)', '(X)', '(X)']
11374 Nonfamily households Estimate,['8142', '10.3%', '6.6%', '12.5%', '8.9%', '10.1%', '16.5%', '11.1%', '14.0%', '7.2%', '2.7%', '51605', '68152', '', '(X)', '(X)', '33.6%']
11374 Nonfamily households Margin of Error,['±612', '±3.3', '±2.0', '±3.4', '±3.1', '±2.5', '±3.0', '±3.6', '±3.4', '±3.4', '±1.1', '±6725', '±6359', '', '(X)', '(X)', '(X)']
11375 Households Estimate,['33099', '4.7%', '1.9%', '6.5%', '5.8%', '6.7%', '13.4%', '12.3%', '20.1%', '10.9%', '17.7%', '96321', '132536', '', '35.7%', '(X)', '(X)']
11375 Households Margin of Error,['±968', '±1.0', '±0.5', '±1.3', '±1.2', '±1.0', '±1.8', '±1.5', '±1.5', '±1.4', '±1.5', '±5116', '±10589', '', '(X)', '(X)', '(X)']
11375 Families Estimate,['19395', '2.2%', '0.9%', '3.8%', '3.6%', '6.0%', '11.0%', '12.4%', '21.5%', '14.5%', '24.2%', '120572', '163897', '', '(X)', '38.3%', '(X)']
11375 Families Margin of Error,['±822', '±1.2', '±0.5', '±1.4', '±1.0', '±1.4', '±2.1', '±2.1', '±2.2', '±2.2', '±2.5', '±7708', '±16723', '', '(X)', '(X)', '(X)']
11375 Married-couple families Estimate,['15216', '1.1%', '1.0%', '3.0%', '3.3%', '5.4%', '8.7%', '11.3%', '20.2%', '16.3%', '29.6%', '138965', 'N', '', '(X)', '(X)', '(X)']
11375 Married-couple families Margin of Error,['±898', '±0.7', '±0.6', '±1.6', '±1.0', '±1.7', '±1.9', '±2.5', '±2.2', '±2.6', '±3.0', '±7437', 'N', '', '(X)', '(X)', '(X)']
11375 Nonfamily households Estimate,['13704', '8.5%', '3.4%', '10.2%', '8.9%', '7.9%', '17.6%', '12.0%', '18.3%', '5.4%', '7.9%', '63137', '86005', '', '(X)', '(X)', '31.4%']
11375 Nonfamily households Margin of Error,['±808', '±1.6', '±1.1', '±2.2', '±2.6', '±1.6', '±3.3', '±2.1', '±2.5', '±1.5', '±1.8', '±5812', '±5239', '', '(X)', '(X)', '(X)']
11377 Households Estimate,['32419', '4.1%', '3.9%', '7.8%', '10.2%', '10.8%', '19.8%', '15.0%', '13.1%', '8.2%', '7.1%', '66325', '90983', '', '41.1%', '(X)', '(X)']
11377 Households Margin of Error,['±1169', '±0.9', '±1.0', '±1.6', '±1.8', '±1.5', '±2.5', '±1.8', '±1.6', '±1.2', '±1.5', '±3513', '±12416', '', '(X)', '(X)', '(X)']
11377 Families Estimate,['19151', '2.5%', '1.8%', '4.3%', '8.5%', '12.7%', '23.1%', '14.5%', '14.0%', '9.7%', '8.9%', '73087', '105270', '', '(X)', '46.3%', '(X)']
11377 Families Margin of Error,['±1001', '±0.8', '±1.0', '±1.0', '±2.4', '±2.2', '±3.0', '±2.1', '±2.2', '±1.8', '±2.3', '±2862', '±20206', '', '(X)', '(X)', '(X)']
11377 Married-couple families Estimate,['13507', '1.3%', '2.0%', '3.1%', '7.1%', '12.4%', '21.6%', '15.1%', '15.2%', '11.4%', '10.9%', '79634', 'N', '', '(X)', '(X)', '(X)']
11377 Married-couple families Margin of Error,['±985', '±0.8', '±1.3', '±0.9', '±2.5', '±2.8', '±3.7', '±2.4', '±2.5', '±2.4', '±3.0', '±6332', 'N', '', '(X)', '(X)', '(X)']
11377 Nonfamily households Estimate,['13268', '7.2%', '7.1%', '13.2%', '13.1%', '10.2%', '18.3%', '14.0%', '10.0%', '3.9%', '3.0%', '48655', '61845', '', '(X)', '(X)', '30.3%']
11377 Nonfamily households Margin of Error,['±1055', '±1.7', '±2.2', '±3.4', '±2.9', '±2.4', '±3.8', '±3.2', '±2.1', '±1.1', '±0.8', '±6439', '±3654', '', '(X)', '(X)', '(X)']
11378 Households Estimate,['12885', '3.6%', '2.3%', '7.7%', '6.3%', '11.0%', '14.6%', '13.1%', '19.7%', '12.0%', '9.6%', '85464', '103504', '', '47.8%', '(X)', '(X)']
11378 Households Margin of Error,['±615', '±0.9', '±0.6', '±2.0', '±1.5', '±2.0', '±2.5', '±2.3', '±2.4', '±2.0', '±1.8', '±5439', '±5559', '', '(X)', '(X)', '(X)']
11378 Families Estimate,['9378', '3.0%', '1.2%', '5.4%', '5.5%', '10.3%', '14.5%', '13.0%', '20.5%', '14.6%', '11.9%', '94002', '114154', '', '(X)', '49.2%', '(X)']
11378 Families Margin of Error,['±494', '±1.0', '±0.6', '±1.6', '±1.7', '±2.3', '±2.9', '±3.0', '±3.0', '±2.3', '±2.3', '±5830', '±6592', '', '(X)', '(X)', '(X)']
11378 Married-couple families Estimate,['6593', '1.7%', '0.7%', '3.4%', '3.5%', '7.9%', '13.6%', '14.3%', '22.9%', '17.8%', '14.4%', '109327', 'N', '', '(X)', '(X)', '(X)']
11378 Married-couple families Margin of Error,['±385', '±0.8', '±0.5', '±1.4', '±1.4', '±2.1', '±3.4', '±4.0', '±3.5', '±2.9', '±3.1', '±8377', 'N', '', '(X)', '(X)', '(X)']
11378 Nonfamily households Estimate,['3507', '7.8%', '5.5%', '14.1%', '10.8%', '13.1%', '16.7%', '11.8%', '13.3%', '4.8%', '2.0%', '48953', '63481', '', '(X)', '(X)', '39.8%']
11378 Nonfamily households Margin of Error,['±407', '±2.7', '±1.8', '±6.0', '±3.7', '±3.4', '±4.6', '±3.8', '±3.2', '±3.1', '±1.6', '±5937', '±6476', '', '(X)', '(X)', '(X)']
11379 Households Estimate,['13887', '3.6%', '2.7%', '6.7%', '6.2%', '8.4%', '16.5%', '10.1%', '19.5%', '12.9%', '13.5%', '88672', '112105', '', '46.2%', '(X)', '(X)']
11379 Households Margin of Error,['±619', '±0.8', '±0.9', '±1.8', '±1.4', '±1.8', '±2.1', '±1.9', '±2.2', '±2.0', '±1.8', '±7823', '±5164', '', '(X)', '(X)', '(X)']
11379 Families Estimate,['9983', '1.8%', '1.6%', '2.7%', '5.6%', '8.8%', '14.2%', '11.7%', '20.8%', '16.4%', '16.3%', '106519', '128459', '', '(X)', '45.3%', '(X)']
11379 Families Margin of Error,['±583', '±0.8', '±1.1', '±1.0', '±2.0', '±2.1', '±2.5', '±2.3', '±2.8', '±2.5', '±2.3', '±8718', '±6334', '', '(X)', '(X)', '(X)']
11379 Married-couple families Estimate,['7438', '1.3%', '1.3%', '2.0%', '4.9%', '9.4%', '12.9%', '11.3%', '23.2%', '15.9%', '17.8%', '115270', 'N', '', '(X)', '(X)', '(X)']
11379 Married-couple families Margin of Error,['±511', '±0.7', '±1.1', '±1.1', '±1.8', '±2.8', '±3.1', '±2.8', '±3.5', '±2.4', '±2.8', '±9093', 'N', '', '(X)', '(X)', '(X)']
11379 Nonfamily households Estimate,['3904', '9.4%', '6.4%', '17.5%', '9.9%', '10.8%', '18.8%', '7.1%', '15.4%', '2.5%', '2.3%', '44320', '58723', '', '(X)', '(X)', '43.9%']
11379 Nonfamily households Margin of Error,['±352', '±2.4', '±2.2', '±5.7', '±2.8', '±3.3', '±3.4', '±2.3', '±3.4', '±1.7', '±1.5', '±5937', '±5270', '', '(X)', '(X)', '(X)']
11385 Households Estimate,['37050', '4.6%', '2.5%', '6.0%', '6.8%', '10.7%', '18.0%', '15.1%', '19.0%', '9.5%', '7.7%', '77350', '94274', '', '65.2%', '(X)', '(X)']
11385 Households Margin of Error,['±926', '±1.0', '±0.5', '±1.3', '±1.1', '±1.2', '±1.5', '±1.5', '±1.7', '±1.0', '±1.1', '±3382', '±3647', '', '(X)', '(X)', '(X)']
11385 Families Estimate,['24729', '3.5%', '1.5%', '5.2%', '5.8%', '12.5%', '18.2%', '15.7%', '19.3%', '9.7%', '8.6%', '79710', '99032', '', '(X)', '68.8%', '(X)']
11385 Families Margin of Error,['±907', '±1.0', '±0.5', '±1.3', '±1.1', '±1.6', '±2.0', '±1.7', '±1.9', '±1.1', '±1.4', '±3832', '±5066', '', '(X)', '(X)', '(X)']
11385 Married-couple families Estimate,['15986', '1.9%', '1.2%', '3.8%', '3.5%', '12.2%', '17.6%', '17.1%', '20.5%', '11.6%', '10.4%', '86801', 'N', '', '(X)', '(X)', '(X)']
11385 Married-couple families Margin of Error,['±698', '±0.6', '±0.5', '±1.6', '±0.9', '±2.0', '±1.9', '±2.6', '±2.1', '±1.6', '±1.8', '±2522', 'N', '', '(X)', '(X)', '(X)']
11385 Nonfamily households Estimate,['12321', '7.3%', '4.9%', '9.5%', '10.2%', '10.5%', '16.5%', '13.6%', '16.0%', '7.4%', '4.2%', '62326', '74001', '', '(X)', '(X)', '56.4%']
11385 Nonfamily households Margin of Error,['±741', '±1.9', '±1.3', '±2.9', '±2.5', '±2.2', '±2.8', '±2.4', '±2.8', '±2.0', '±1.2', '±5602', '±4084', '', '(X)', '(X)', '(X)']
11411 Households Estimate,['6509', '3.6%', '2.5%', '2.4%', '6.1%', '7.2%', '11.8%', '11.0%', '26.7%', '12.6%', '16.2%', '108131', '121415', '', '58.5%', '(X)', '(X)']
11411 Households Margin of Error,['±363', '±1.2', '±1.2', '±0.9', '±3.0', '±2.1', '±2.1', '±2.3', '±3.6', '±2.1', '±3.1', '±6020', '±6985', '', '(X)', '(X)', '(X)']
11411 Families Estimate,['5008', '0.7%', '0.7%', '2.0%', '3.7%', '6.8%', '11.6%', '12.9%', '27.8%', '14.8%', '19.0%', '120755', '133486', '', '(X)', '62.8%', '(X)']
11411 Families Margin of Error,['±312', '±0.5', '±0.5', '±1.2', '±1.3', '±2.3', '±2.3', '±3.0', '±3.6', '±2.4', '±3.8', '±7233', '±7352', '', '(X)', '(X)', '(X)']
11411 Married-couple families Estimate,['2967', '0.6%', '0.8%', '0.5%', '2.5%', '4.0%', '8.7%', '10.2%', '31.1%', '15.7%', '25.9%', '134081', 'N', '', '(X)', '(X)', '(X)']
11411 Married-couple families Margin of Error,['±288', '±0.5', '±0.6', '±0.5', '±1.2', '±2.1', '±2.9', '±2.6', '±5.3', '±3.8', '±5.7', '±9923', 'N', '', '(X)', '(X)', '(X)']
11411 Nonfamily households Estimate,['1501', '13.3%', '8.3%', '6.2%', '14.3%', '9.7%', '14.9%', '7.7%', '20.0%', '3.2%', '2.4%', '47083', '65953', '', '(X)', '(X)', '39.9%']
11411 Nonfamily households Margin of Error,['±273', '±5.5', '±4.9', '±3.0', '±10.9', '±4.6', '±4.8', '±3.4', '±6.4', '±2.0', '±2.2', '±18089', '±10815', '', '(X)', '(X)', '(X)']
11412 Households Estimate,['11500', '3.8%', '3.4%', '6.0%', '5.0%', '9.1%', '11.5%', '15.1%', '21.2%', '12.3%', '12.6%', '93429', '110256', '', '67.3%', '(X)', '(X)']
11412 Households Margin of Error,['±405', '±1.0', '±1.0', '±1.3', '±1.1', '±2.1', '±2.0', '±2.1', '±2.5', '±1.8', '±1.7', '±6787', '±4325', '', '(X)', '(X)', '(X)']
11412 Families Estimate,['8849', '2.6%', '1.5%', '3.7%', '4.2%', '7.6%', '11.6%', '16.0%', '24.7%', '15.2%', '12.8%', '105515', '118730', '', '(X)', '71.2%', '(X)']
11412 Families Margin of Error,['±348', '±0.9', '±0.9', '±1.3', '±1.3', '±1.8', '±2.3', '±2.6', '±2.9', '±2.1', '±1.9', '±5581', '±4820', '', '(X)', '(X)', '(X)']
11412 Married-couple families Estimate,['4315', '1.0%', '0.2%', '2.2%', '2.3%', '5.5%', '9.5%', '13.5%', '27.0%', '20.0%', '18.9%', '126369', '141035', '', '(X)', '(X)', '(X)']
11412 Married-couple families Margin of Error,['±277', '±0.8', '±0.3', '±1.2', '±1.3', '±1.7', '±3.0', '±3.1', '±4.1', '±3.7', '±3.4', '±11367', '±7605', '', '(X)', '(X)', '(X)']
11412 Nonfamily households Estimate,['2651', '9.6%', '10.3%', '13.4%', '9.0%', '17.1%', '14.2%', '11.7%', '11.7%', '1.2%', '1.7%', '45752', '55563', '', '(X)', '(X)', '46.3%']
11412 Nonfamily households Margin of Error,['±336', '±3.3', '±2.9', '±3.8', '±3.2', '±7.5', '±4.5', '±4.4', '±4.5', '±1.0', '±1.2', '±3807', '±5029', '', '(X)', '(X)', '(X)']
11413 Households Estimate,['12983', '3.0%', '1.5%', '3.6%', '4.3%', '7.8%', '13.2%', '14.8%', '27.6%', '14.2%', '10.2%', '104236', '117017', '', '68.2%', '(X)', '(X)']
11413 Households Margin of Error,['±605', '±1.0', '±0.6', '±1.1', '±1.1', '±1.3', '±2.2', '±2.2', '±2.6', '±2.1', '±1.7', '±5380', '±4778', '', '(X)', '(X)', '(X)']
11413 Families Estimate,['10352', '1.4%', '0.9%', '2.1%', '3.7%', '7.8%', '13.1%', '15.0%', '28.5%', '16.1%', '11.5%', '110379', '125042', '', '(X)', '70.9%', '(X)']
11413 Families Margin of Error,['±544', '±0.7', '±0.5', '±0.9', '±1.3', '±1.7', '±2.4', '±2.5', '±2.9', '±2.6', '±2.1', '±3268', '±5729', '', '(X)', '(X)', '(X)']
11413 Married-couple families Estimate,['5100', '0.5%', '0.5%', '0.5%', '1.5%', '5.7%', '10.6%', '11.9%', '33.9%', '18.9%', '16.0%', '121786', 'N', '', '(X)', '(X)', '(X)']
11413 Married-couple families Margin of Error,['±406', '±0.8', '±0.5', '±0.4', '±1.1', '±1.8', '±3.4', '±3.0', '±4.6', '±4.2', '±3.5', '±10168', 'N', '', '(X)', '(X)', '(X)']
11413 Nonfamily households Estimate,['2631', '10.1%', '4.8%', '10.6%', '7.6%', '11.2%', '16.0%', '17.4%', '17.7%', '3.7%', '0.9%', '55767', '67160', '', '(X)', '(X)', '49.2%']
11413 Nonfamily households Margin of Error,['±362', '±3.8', '±2.4', '±5.1', '±3.1', '±3.7', '±6.3', '±6.1', '±4.4', '±2.3', '±0.8', '±12621', '±7220', '', '(X)', '(X)', '(X)']
11414 Households Estimate,['11516', '5.9%', '5.5%', '4.2%', '5.0%', '10.3%', '15.1%', '11.0%', '16.2%', '11.5%', '15.3%', '86113', '113435', '', '58.4%', '(X)', '(X)']
11414 Households Margin of Error,['±766', '±2.8', '±2.6', '±1.6', '±1.8', '±3.0', '±3.7', '±2.9', '±3.1', '±3.2', '±4.5', '±9709', '±12811', '', '(X)', '(X)', '(X)']
11414 Families Estimate,['7685', '1.3%', '2.1%', '3.3%', '3.5%', '9.5%', '17.1%', '11.1%', '17.9%', '13.0%', '21.3%', '104162', '136073', '', '(X)', '61.0%', '(X)']
11414 Families Margin of Error,['±734', '±1.4', '±1.7', '±2.0', '±2.0', '±2.9', '±5.2', '±3.7', '±4.1', '±4.2', '±6.3', '±17613', '±17050', '', '(X)', '(X)', '(X)']
11414 Married-couple families Estimate,['5300', '0.0%', '2.2%', '1.6%', '0.8%', '9.7%', '16.4%', '8.5%', '18.3%', '15.6%', '26.9%', '128906', 'N', '', '(X)', '(X)', '(X)']
11414 Married-couple families Margin of Error,['±729', '±0.7', '±2.3', '±1.3', '±1.0', '±3.2', '±5.7', '±3.7', '±4.7', '±5.6', '±8.1', '±17067', 'N', '', '(X)', '(X)', '(X)']
11414 Nonfamily households Estimate,['3831', '15.1%', '12.4%', '7.0%', '8.0%', '12.2%', '12.8%', '11.5%', '13.8%', '4.4%', '2.8%', '44105', '61459', '', '(X)', '(X)', '52.7%']
11414 Nonfamily households Margin of Error,['±564', '±7.0', '±6.7', '±3.0', '±4.0', '±6.2', '±4.5', '±5.1', '±5.4', '±4.3', '±3.5', '±9423', '±11254', '', '(X)', '(X)', '(X)']
